STATE,COUNTY,NAME,median_household_income,total_population,unemployed_individuals,total_labor_force
19,001,"Adair County, Iowa",63172,7479,148,3802
19,003,"Adams County, Iowa",64750,3680,78,1841
19,005,"Allamakee County, Iowa",64049,14046,225,7093
19,007,"Appanoose County, Iowa",50684,12279,326,5315
19,009,"Audubon County, Iowa",54973,5651,19,2862
19,011,"Benton County, Iowa",79444,25652,317,13511
19,013,"Black Hawk County, Iowa",62329,131041,3674,70338
19,015,"Boone County, Iowa",75759,26700,190,14430
19,017,"Bremer County, Iowa",84727,25012,422,13366
19,019,"Buchanan County, Iowa",73493,20631,324,10767
19,021,"Buena Vista County, Iowa",62662,20687,546,10907
19,023,"Butler County, Iowa",65743,14376,280,7160
19,025,"Calhoun County, Iowa",65614,9893,118,4355
19,027,"Carroll County, Iowa",68041,20728,210,10965
19,029,"Cass County, Iowa",60815,13116,92,6612
19,031,"Cedar County, Iowa",76959,18479,301,10016
19,033,"Cerro Gordo County, Iowa",63149,42979,672,22678
19,035,"Cherokee County, Iowa",63638,11601,196,6150
19,037,"Chickasaw County, Iowa",72734,11957,135,6374
19,039,"Clarke County, Iowa",63120,9737,187,4792
19,041,"Clay County, Iowa",61756,16423,363,8783
19,043,"Clayton County, Iowa",60441,17123,234,8848
19,045,"Clinton County, Iowa",61080,46488,990,22699
19,047,"Crawford County, Iowa",61188,16450,337,8247
19,049,"Dallas County, Iowa",99533,100367,1735,57187
19,051,"Davis County, Iowa",77176,9093,84,4191
19,053,"Decatur County, Iowa",56068,7684,151,3631
19,055,"Delaware County, Iowa",75896,17523,215,9801
19,057,"Des Moines County, Iowa",58084,38824,553,19152
19,059,"Dickinson County, Iowa",72446,17692,205,9584
19,061,"Dubuque County, Iowa",73495,98812,2204,53568
19,063,"Emmet County, Iowa",64461,9349,107,4982
19,065,"Fayette County, Iowa",56043,19519,359,9594
19,067,"Floyd County, Iowa",62356,15601,255,7681
19,069,"Franklin County, Iowa",62214,10015,186,4921
19,071,"Fremont County, Iowa",69375,6639,53,3201
19,073,"Greene County, Iowa",56884,8801,161,4528
19,075,"Grundy County, Iowa",80701,12351,159,6435
19,077,"Guthrie County, Iowa",75795,10619,181,5504
19,079,"Hamilton County, Iowa",66685,14979,301,7596
19,081,"Hancock County, Iowa",67865,10790,121,5697
19,083,"Hardin County, Iowa",64656,16861,302,8680
19,085,"Harrison County, Iowa",75830,14623,208,7595
19,087,"Henry County, Iowa",62365,20436,268,10018
19,089,"Howard County, Iowa",63947,9479,70,4792
19,091,"Humboldt County, Iowa",66617,9606,123,4840
19,093,"Ida County, Iowa",63125,6969,72,3603
19,095,"Iowa County, Iowa",69787,16575,277,8782
19,097,"Jackson County, Iowa",69709,19470,412,9784
19,099,"Jasper County, Iowa",67784,37808,928,19235
19,101,"Jefferson County, Iowa",52210,15785,418,8016
19,103,"Johnson County, Iowa",72977,153360,3381,88329
19,105,"Jones County, Iowa",68781,20733,321,10340
19,107,"Keokuk County, Iowa",60016,10026,175,4806
19,109,"Kossuth County, Iowa",62553,14718,277,7331
19,111,"Lee County, Iowa",58094,33442,721,15769
19,113,"Linn County, Iowa",75457,229308,4810,126171
19,115,"Louisa County, Iowa",72500,10823,248,5636
19,117,"Lucas County, Iowa",63405,8666,168,4273
19,119,"Lyon County, Iowa",73735,12023,145,5999
19,121,"Madison County, Iowa",88110,16609,210,9286
19,123,"Mahaska County, Iowa",65200,22059,384,11485
19,125,"Marion County, Iowa",74193,33487,393,17201
19,127,"Marshall County, Iowa",70828,40049,1154,20712
19,129,"Mills County, Iowa",81907,14605,309,7233
19,131,"Mitchell County, Iowa",66056,10537,52,5725
19,133,"Monona County, Iowa",59897,8671,112,4264
19,135,"Monroe County, Iowa",76324,7574,128,3732
19,137,"Montgomery County, Iowa",61261,10285,222,4979
19,139,"Muscatine County, Iowa",67427,42968,781,22143
19,141,"O'Brien County, Iowa",65076,14138,172,7124
19,143,"Osceola County, Iowa",67561,6149,147,3254
19,145,"Page County, Iowa",58264,15225,479,7311
19,147,"Palo Alto County, Iowa",67306,8938,170,4663
19,149,"Plymouth County, Iowa",79963,25621,293,13920
19,151,"Pocahontas County, Iowa",61434,7061,223,3542
19,153,"Polk County, Iowa",78827,493378,12332,275129
19,155,"Pottawattamie County, Iowa",68718,93543,1687,47569
19,157,"Poweshiek County, Iowa",61192,18608,441,9661
19,159,"Ringgold County, Iowa",67898,4690,39,2329
19,161,"Sac County, Iowa",68778,9778,163,5118
19,163,"Scott County, Iowa",72792,174315,3607,91173
19,165,"Shelby County, Iowa",70295,11737,150,6116
19,167,"Sioux County, Iowa",81914,35815,452,19566
19,169,"Story County, Iowa",66197,98573,3139,56477
19,171,"Tama County, Iowa",65483,17017,387,8557
19,173,"Taylor County, Iowa",65926,5916,98,3049
19,175,"Union County, Iowa",56495,12107,341,5945
19,177,"Van Buren County, Iowa",58417,7207,156,3216
19,179,"Wapello County, Iowa",56209,35292,755,17236
19,181,"Warren County, Iowa",89741,52709,905,28602
19,183,"Washington County, Iowa",71122,22534,312,12029
19,185,"Wayne County, Iowa",58257,6484,46,2905
19,187,"Webster County, Iowa",65335,36986,591,18366
19,189,"Winnebago County, Iowa",62853,10704,143,5638
19,191,"Winneshiek County, Iowa",67770,20050,230,11185
19,193,"Woodbury County, Iowa",68399,105526,2488,55540
19,195,"Worth County, Iowa",69897,7417,135,4129
19,197,"Wright County, Iowa",58240,12897,131,5954
